@@@numDocs=3374@@@
$350,1
$5,1
+,16
+447797706009,2
+449071512431,1
+std,1
0,2
00,3
000,17
008704050406,1
0089,1
0121,1
01223585236,1
01223585334,2
02,6
0207,1
02073162414,2
02085076972,1
021,1
03,8
04,10
05,1
050703,2
0578,2
06,5
07,1
07008009200,1
07090201529,1
07090298926,1
07099833605,1
07123456789,1
0721072,1
07732584351,1
07734396839,1
07742676969,2
07753741225,1
0776xxxxxxx,1
07781482378,2
07786200117,2
077xxx,1
078,1
07808726822,1
07815296484,1
07821230901,1
0796xxxxxx,1
07973788240,1
07xxxxxxxxx,3
08,1
0800,8
08000407165,1
08000776320,1
08000839402,8
08000930705,12
08001950382,2
08002888812,1
08002986030,1
08002986906,1
08006344447,1
0808,1
08081263000,1
08081560665,2
083,1
0844,1
0845,2
08452810073,3
08452810075over18,1
0870,6
08700435505150p,1
08700621170150p,1
08701237397,1
08701417012,1
08701417012150p,2
0870141701216+,1
087018728737,1
0870241182716,2
08702490080,1
08702840625,2
08704050406,1
08704439680,1
08706091795,2
08707500020,1
08707509020,5
0870753331018+,1
08707808226,1
08708034412,2
08708800282,1
08709222922,1
08709501522,1
0871,2
087104711148,1
08712101358,1
0871212025016,1
08712300220,4
087123002209am,1
08712317606,1
08712400200,1
08712400602450p,1
08712400603,1
08712402050,1
08712402902,1
08712402972,1
08712405020,2
08712460324,4
0871277810810,1
0871277810910p,1
08714712379,1
08714712394,1
08714712412,1
08715203028,1
08715203649,1
08715203652,1
08715203656,1
08715203677,1
08715203685,1
08715203694,1
08715205273,1
08715500022,1
08715705022,3
08717111821,1
08717168528,1
08717205546,1
0871750,2
08717507382,1
08717895698,1
08717898035,1
08718711108,1
08718720201,4
08718725756,1
08718726270,1
087187262701,2
08718726971,1
08718726978,1
08718727870,3
08718727870150ppm,1
08718730555,1
08718730666,1
08718738001,2
08718738002,1
08718738034,1
08719180248,2
08719181259,1
08719181503,1
08719181513,2
08719839835,1
08719899230,1
09,2
09050000332,1
09050000460,1
09050001808,1
09050003091,2
09050090044,1
09050280520,1
09053750005,1
09057039994,1
09058091854,2
09058094454,1
09058094455,1
09058094507,1
09058094594,1
09058094597,1
09058094599,1
09058095201,1
09058097218,1
09058098002,1
09058099801,1
09061104276,1
09061104283,1
09061209465,2
09061213237,1
09061221061,1
09061221066,3
09061701444,1
09061701461,1
09061743386,1
09061743806,1
09061743811,1
09061744553,1
09061790121,1
09061790125,1
09061790126,1
09063440451,1
09063442151,1
09063458130,1
0906346330,1
09064011000,2
09064012160,2
09064017295,1
09064017305,1
09064019014,1
09065069120,1
09065171142,1
09065174042,1
09065394514,1
09065989182,1
09066350750,1
09066358152,2
09066358361,1
09066361921,1
09066362206,1
09066362220,1
09066362231,2
09066364311,2
09066364589,1
09066368327,1
09066368470,1
09066380611,2
09066382422,2
09066612661,2
09066660100,1
09071512432,1
09071512433,2
09077818151,1
09090204448,1
09090900040,1
09094100151,1
09094646631,1
09094646899,1
09099725823,1
09099726395,1
09099726429,1
09099726553,1
09701213186,1
0a$networks,1
1,65
10,19
100,9
1000,2
100percent,2
1013,1
10am,5
10k,2
10p,14
10ppm,1
11,10
114,1
1172,1
118p,1
11mths,2
11mths+,1
11pm,1
12,7
120p,1
121,2
125gift,2
12hrs,12
12mths,1
13,2
1327,6
139,1
14,1
140ppm,1
145,1
146tf150p,1
14tcr,1
150,2
150p,38
150p16+,1
150pm,4
150ppermesssubscription,2
150ppm,21
16,10
16+,19
16+only,2
165,1
169,1
177,1
18,14
18+,11
18+6,1
18+only,3
18yrs,2
195,1
1956669,2
1er,1
1st,21
1st4terms,1
1stchoice,1
1winaweek,2
1winawk,1
1x150p,2
2,243
20,9
200,1
2003,11
2004,6
2005,1
2006,1
2007,2
